"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Likes,Shares,Comments,Saves,Reach,Follows
18019336139727993,17841463162024025,zlata.jpeg,"Zlata Plotnikova","Double posting but can you blame me when the pics are this good 😍

Also don’t forget to check out my telegram channel in bio,
Posting a little different there 🥰

#fitnessphotography#fitshoot#editorialfitness#aestheticfitness#fitnessportrait#fitandstrong#muscleaesthetic#fitnesseditorial#strongisbeautiful#photographerlife#fitmodelshoot#tonedphysique#studiofitnessshoot#fitspo#fitbodygoals#fitnessinspo#visualstrength#gymphotoshoot#contentcreatorphotographer#londonphotographer#fitnesslifestyle#photoshootvibes#fitculture#bodyaesthetic#fitnessvibes#wellnessphotography#athleticportrait#londonfitshoot#editorialportrait#fitnessstudio",0,"08/23/2025 12:00",https://www.instagram.com/p/DNtV59h0O7f/,"IG image",,Lifetime,5438,26,1,5,2,674,0
18042077459365272,17841463162024025,zlata.jpeg,"Zlata Plotnikova","Are you obsessed?
Because I’m obsessed 🤩

#glutegoals#glutesfordays#bootycheck#fitglutes#bootyshoot#fitnessphotography#bodysuitstyle#bootylove#tonedphysique#aestheticfitness#fitspo#strongisbeautiful#femalephotographer#fitnesseditorial#empoweredfemininity#fitandfeminine#fitmodelshoot#gymphotoshoot#muscleaesthetic#femalefitness#peachgoals#gluteshoot#glutefocus#editorialglutes#bootyfitness#bootyeditorial#fitnessinspo#fitgirlportrait#studiofitnessshoot#glutesculpt",0,"08/23/2025 02:45",https://www.instagram.com/p/DNsWZ6II688/,"IG image",,Lifetime,6341,150,1,20,18,988,1
18180449152336799,17841463162024025,zlata.jpeg,"Zlata Plotnikova","goals 😍",0,"08/22/2025 05:06",https://www.instagram.com/p/DNqBzwbo5Dx/,"IG carousel",,Lifetime,13433,134,9,13,3,2623,0
18102295930579925,17841401797663308,kirstytaylor_ifbbpro,"𝗞𝗜𝗥𝗦𝗧𝗬 𝗧𝗔𝗬𝗟𝗢𝗥 🩷","Some wear crowns, others wear cowboy hats 🤠 ✨

📸 @zlata.jpeg X @makeoneup_ 💋

#cowgirl #cowboyboots #abs #fitness #fitnessmotivation #fintessshoot",0,"08/21/2025 04:00",https://www.instagram.com/p/DNnVbUOom-H/,"IG image",,Lifetime,41402,484,11,35,0,,
18038871413415469,17841401797663308,kirstytaylor_ifbbpro,"𝗞𝗜𝗥𝗦𝗧𝗬 𝗧𝗔𝗬𝗟𝗢𝗥 🩷","Humpday coverage brought to you by the Gluteographer 🍑📸 @zlata.jpeg

Swipe for the BTS - makeup look by @makeoneup_ 💄

#humpday #glutes #gluteographer",0,"08/20/2025 12:13",https://www.instagram.com/p/DNlpB0cI6Sw/,"IG carousel",,Lifetime,26914,605,9,49,0,,
18075942971317040,17841463162024025,zlata.jpeg,"Zlata Plotnikova","I think we are all in urgent need of a dose of shiny glutes",0,"08/19/2025 05:04",https://www.instagram.com/p/DNiTHp-IvCq/,"IG image",,Lifetime,5987,101,2,17,17,1100,0
17938974498054638,17841463162024025,zlata.jpeg,"Zlata Plotnikova","Sneak peek of this queen’s purple moment in the lavender fields 🪻🪻🪻",0,"08/18/2025 07:59",https://www.instagram.com/p/DNgCdQXoxA3/,"IG image",,Lifetime,5108,57,1,15,5,681,3
17897436336267913,17841401797663308,kirstytaylor_ifbbpro,"𝗞𝗜𝗥𝗦𝗧𝗬 𝗧𝗔𝗬𝗟𝗢𝗥 🩷","Bikinis & Biceps 💪🏽✨

📸@zlata.jpeg 💄@makeoneup_

#bikini #flex #bicep #girlswithmuscle #fitnessmotivation #bodybuilding #abs",0,"08/16/2025 05:21",https://www.instagram.com/p/DNamv1ioElb/,"IG image",,Lifetime,28798,231,5,14,0,,
17932694688082939,17841463162024025,zlata.jpeg,"Zlata Plotnikova","Ngl I kinda wanna make it into a print or a neon sign, what A FRIGGIN PHOTO (sorry I’m usually more humble about my work 😅)",0,"08/16/2025 00:47",https://www.instagram.com/p/DNaHXPBIfoM/,"IG image",,Lifetime,6012,48,2,7,5,1095,0
17888013759338124,17841463162024025,zlata.jpeg,"Zlata Plotnikova","I’m wondering what would be my glute phone screen time 🤔

I may not recognize your face, but the glutes - I’ll never forget 😅",0,"08/15/2025 07:33",https://www.instagram.com/p/DNYREsLok1k/,"IG image",,Lifetime,5469,79,0,14,13,829,0
